"","feature","g1_tag","g0_tag","g1_avg","g0_avg","g1_pct","g0_pct","log2FC","Pval","FDR","Zscore"
"79","DOK2_TF","Severe","NonSevere",0.630150211689594,0.212265621907503,0.998971986635826,1,0.417884589782091,2.2250738585072e-308,0,37.5378360955761
"36","CD28_TF","Severe","NonSevere",0.565472237277698,0.159219419450569,0.995630943202262,1,0.406252817827129,2.2250738585072e-308,0,37.5378360955761
"266","TNFSF10_TF","Severe","NonSevere",0.992099362808958,0.643929182044866,0.994088923156001,1,0.348170180764092,8.55766486430364e-50,1.30936948743444e-49,14.8361099464134
"163","LRP1_TF","Severe","NonSevere",1.21650389788401,0.877848047357438,0.991518889745567,0.999616711383672,0.338655850526568,1.44609472706223e-23,1.85736937420837e-23,10.0051929785339
"152","LAMP2_TF","Severe","NonSevere",1.08056327373765,0.746641492648903,0.988434849653046,0.999616711383672,0.33392178108875,9.13477913346505e-32,1.23562229824648e-31,11.7282310161619
"18","ASGR1_TF","Severe","NonSevere",0.352779919472286,0.045846234803881,0.986121819583655,1,0.306933684668406,5.31575334247779e-268,2.36255704110124e-267,34.9754450086278
"161","LPCAT2_TF","Severe","NonSevere",1.38114329772001,1.08849175929475,0.932922127987664,0.992334227673438,0.292651538425264,1.83168272660899e-12,2.20116379163312e-12,7.0467322604029
"128","IL10RA_TF","Severe","NonSevere",0.599006372730994,0.323047541005273,1,1,0.27595883172572,2.03452403546387e-242,8.25603956420121e-242,33.2501001200344
"103","FLI1_TF","Severe","NonSevere",0.386584017655722,0.118796715522336,1,1,0.267787302133386,2.27943494865197e-287,1.06373630937092e-286,36.2271068288101
"144","ITGB1_TF","Severe","NonSevere",0.563010582569116,0.299692488903434,1,1,0.263318093665681,2.2250738585072e-308,0,37.5378360955761
"237","SMARCA2_TF","Severe","NonSevere",0.460911190484932,0.207410046952856,1,1,0.253501143532077,2.2250738585072e-308,0,37.5378360955761
"40","CD5_TF","Severe","NonSevere",0.700161321691777,0.447555192634933,1,1,0.252606129056843,6.11540813987045e-242,2.37821427661629e-241,33.2170144096131
"157","LGALS3_TF","Severe","NonSevere",1.80686674852699,1.56753719641799,0.951940375224878,0.996933691069375,0.239329552108996,1.58607492663841e-05,1.7415724684657e-05,4.31638187847563
"229","SH2D1A_TF","Severe","NonSevere",0.418656789805148,0.181255611502859,1,1,0.23740117830229,2.2250738585072e-308,0,37.5378360955761
"220","S100A11_TF","Severe","NonSevere",1.78668722693395,1.55101071541653,0.978925726034438,0.999233422767344,0.235676511517416,9.80395836632076e-06,1.08932870736897e-05,4.42145257627081
"122","HYOU1_TF","Severe","NonSevere",0.359166737173766,0.131939303063937,1,1,0.227227434109829,2.2250738585072e-308,0,37.5378360955761
"257","TIMP1_TF","Severe","NonSevere",1.33858762386133,1.11342482680503,0.985350809560524,0.996550402453047,0.2251627970563,4.85156808391401e-09,5.56737321104887e-09,5.85218490445763
"13","ANXA4_TF","Severe","NonSevere",0.367189070487619,0.152133518516629,0.979182729375482,1,0.21505555197099,1.10617390035064e-213,3.777179171929e-213,31.1987987589146
"63","CORO1A_TF","Severe","NonSevere",0.660110153583895,0.453881096684553,1,1,0.206229056899342,2.34181857342408e-119,5.12272812936518e-119,23.2285892071592
"218","RRM2_TF","Severe","NonSevere",0.255209296856478,0.0517214168150971,1,1,0.203487880041381,2.2250738585072e-308,0,37.5378360955761
"46","CD79B_TF","Severe","NonSevere",0.266068549800238,0.066808619254724,0.996144949884349,1,0.199259930545514,2.2250738585072e-308,0,37.5378360955761
"60","CLTA_TF","Severe","NonSevere",0.493066620977184,0.296063952113388,0.99254690310974,1,0.197002668863796,7.52281836198054e-109,1.57193219504071e-108,22.1647249300276
"147","ITGB7_TF","Severe","NonSevere",0.536219040568643,0.341758167429486,1,1,0.194460873139157,3.26354686817762e-152,8.46104743601605e-152,26.2798053509732
"108","FUS_TF","Severe","NonSevere",0.497852315793384,0.304376711605868,1,1,0.193475604187516,1.41031280460399e-313,7.31273306089493e-313,37.8551203500442
"259","TNFAIP8_TF","Severe","NonSevere",0.371903521375304,0.178461242302001,1,1,0.193442279073304,2.2250738585072e-308,0,37.5378360955761
"16","ARHGAP25_TF","Severe","NonSevere",0.492947984081369,0.307069714972647,1,1,0.185878269108722,9.58983589017456e-180,2.73995311147844e-179,28.5875717627191
"3","ACTN4_TF","Severe","NonSevere",0.502211914000784,0.32433649534297,0.999485993317913,1,0.177875418657813,2.2250738585072e-308,0,37.5378360955761
"169","MANF_TF","Severe","NonSevere",0.292776913018108,0.117194459496967,1,1,0.175582453521141,2.2250738585072e-308,0,37.5378360955761
"57","CLEC4D_TF","Severe","NonSevere",0.390323824209715,0.222004475821907,0.96556155230018,0.999233422767344,0.168319348387808,4.80220036009507e-55,7.5540230383518e-55,15.6265344878905
"212","PTPN1_TF","Severe","NonSevere",0.275410063833368,0.108816073024868,1,1,0.1665939908085,2.2250738585072e-308,0,37.5378360955761
"191","NINJ1_TF","Severe","NonSevere",1.36632256774894,1.20835192178399,0.952197378565921,0.997700268302031,0.157970645964948,0.00016746169184882,0.000179652389722872,3.76363435085098
"34","CD244_TF","Severe","NonSevere",0.239432704461893,0.0848512018835898,0.998971986635826,1,0.154581502578303,2.2250738585072e-308,0,37.5378360955761
"196","NUB1_TF","Severe","NonSevere",0.291788397052648,0.138803946262292,1,1,0.152984450790356,2.2250738585072e-308,0,37.5378360955761
"278","VSTM1_TF","Severe","NonSevere",0.300624448658373,0.148666610364384,0.987663839629915,0.999233422767344,0.151957838293989,1.39795634674912e-84,2.59223693436922e-84,19.4876344809551
"124","IDS_TF","Severe","NonSevere",0.381803652367935,0.238845832079164,1,1,0.142957820288771,2.2250738585072e-308,0,37.5378360955761
"74","DCTN1_TF","Severe","NonSevere",0.220117549970361,0.0802949219918717,1,1,0.139822627978489,2.38149240495508e-58,3.85443857449377e-58,16.1042549540181
"268","TP53INP1_TF","Severe","NonSevere",0.264166637095153,0.124534452650585,0.999485993317913,1,0.139632184444567,2.2250738585072e-308,0,37.5378360955761
"245","STX16_TF","Severe","NonSevere",0.267023145977423,0.131251226990997,0.999485993317913,1,0.135771918986425,2.2250738585072e-308,0,37.5378360955761
"64","COX5B_TF","Severe","NonSevere",0.477004224492418,0.346380318129552,1,1,0.130623906362867,1.34404321935723e-176,3.76332101420025e-176,28.3333098192354
"248","SUGT1_TF","Severe","NonSevere",0.182725902463759,0.0567170466748849,1,1,0.126008855788874,4.46571600522749e-131,1.03338882765595e-130,24.3606969184883
"77","DGKZ_TF","Severe","NonSevere",0.218619136166417,0.100211973428146,1,1,0.118407162738271,2.2250738585072e-308,0,37.5378360955761
"141","IRAK4_TF","Severe","NonSevere",0.185779400426323,0.0683306519941095,1,1,0.117448748432214,2.2250738585072e-308,0,37.5378360955761
"7","ADAM8_TF","Severe","NonSevere",0.302854226960023,0.196140212213337,0.997943973271653,1,0.106714014746686,2.55753852312129e-316,1.35115242805512e-315,38.0213943245816
