"","feature","g1_tag","g0_tag","g1_avg","g0_avg","g1_pct","g0_pct","log2FC","Pval","FDR","Zscore"
"5342","GMNN","Severe","NonSevere",0.0339244410177332,0.0187811422000767,0.0313544076072989,0.0180145649674205,0.0151432988176566,0.000337449835532944,0.00378849282852131,3.58471241092228
"3567","DHX29","Severe","NonSevere",0.122076586995631,0.106937523955539,0.11153945001285,0.0950555768493676,0.0151390630400924,0.091013651241351,0.291969402261322,1.69007476889275
"12791","SMARCAD1","Severe","NonSevere",0.0745309689025957,0.0594097355308547,0.0704189154459008,0.0528938290532771,0.015121233371741,0.0288924927063654,0.133439751520665,2.18495027479603
"997","ASCC2","Severe","NonSevere",0.140837830891802,0.125718666155615,0.122847597018761,0.113070141816788,0.0151191647361864,0.121666458522912,0.351384680245678,1.5478166005877
"16048","ZNF683","Severe","NonSevere",0.0292983808789514,0.0141816788041395,0.0228732973528656,0.0114986584898429,0.0151167020748119,0.000872035387930518,0.00845171491800837,3.32885580786906
"10642","PRKX","Severe","NonSevere",0.157286044718581,0.142200076657723,0.134669750706759,0.125718666155615,0.0150859680608581,0.146168974720756,0.39283374115539,1.45319732484029
"10797","PSMC4","Severe","NonSevere",0.0902081727062452,0.0751245688003066,0.0873811359547674,0.07244154848601,0.0150836039059385,0.0353987380241914,0.155104753869021,2.10376744358222
"14610","TRUB2","Severe","NonSevere",0.0449755846826009,0.0298965120735914,0.0403495245438191,0.0268302031429667,0.0150790726090095,0.00430473055861941,0.0311005767194604,2.85492269506117
"7942","MGME1","Severe","NonSevere",0.0411205345669494,0.0260636259103105,0.0382934978154716,0.0252970486776543,0.0150569086566389,0.00134780366025366,0.0120353380751143,3.20560179158344
"13716","TCN1","Severe","NonSevere",0.0177332305319969,0.00268302031429667,0.00771010023130301,0.00153315446531238,0.0150502102177002,0.000907952153697377,0.00872171317344569,3.31759751554113
"15670","ZMYM4","Severe","NonSevere",0.105885376509895,0.0908394020697585,0.0974042662554613,0.0827903411268685,0.0150459744401361,0.0694689785925551,0.246318691168117,1.81535756038639
"8991","NPRL3","Severe","NonSevere",0.0380364944744282,0.0229973169796857,0.0344384476998201,0.0210808738980452,0.0150391774947425,0.00136156724717405,0.0121248945093931,3.20267673607698
"15813","ZNF33B","Severe","NonSevere",0.05988177846312,0.0448447681103871,0.0526856849139039,0.0383288616328095,0.0150370103527329,0.0194262968085017,0.100179956286282,2.33724791991764
"14459","TRAPPC4","Severe","NonSevere",0.0591107684399897,0.0440781908777309,0.0542277049601645,0.0433116136450747,0.0150325775622588,0.00990181785511576,0.0602045359775091,2.57923925890665
"6231","IFNAR2","Severe","NonSevere",0.0809560524286816,0.0659256420084323,0.0763299922898998,0.0620927558451514,0.0150304104202492,0.0304110475914482,0.138523931265752,2.16469503464874
"4717","FCRL2","Severe","NonSevere",0.0326394243125161,0.0176312763510924,0.0251863274222565,0.0157148332694519,0.0150081479614237,0.00121930065251403,0.0111015854138602,3.23432629603124
"7820","MED13","Severe","NonSevere",0.276792598303778,0.261786124952089,0.219480853251092,0.215408202376389,0.015006473351689,0.302170441230549,0.575101491719108,1.03179013584416
"12575","SLC33A1","Severe","NonSevere",0.0544847083012079,0.0394787274817938,0.0516576715497301,0.0371789957838252,0.0150059808194141,0.00705511601847753,0.046294564852047,2.69423142333831
"9881","PEX11B","Severe","NonSevere",0.0318684142893858,0.0168646991184362,0.030840400925212,0.0168646991184362,0.0150037151709496,9.80707376349502e-05,0.00132562893818966,3.89531612351684
"12597","SLC35F2","Severe","NonSevere",0.0303263942431252,0.0153315446531238,0.0287843741968646,0.0141816788041395,0.0149948495900014,0.000126685751938441,0.00164266493368103,3.8328139769992
"533","AMD1","Severe","NonSevere",0.162940118221537,0.147949405902645,0.141351837573888,0.134917592947489,0.0149907123188922,0.151567551205295,0.396313675667273,1.43401651085888
"3692","DNAJB9","Severe","NonSevere",0.071703932151118,0.0567267152165581,0.0652788486250321,0.0502108087389804,0.0149772169345599,0.0305487823532654,0.138954590283808,2.1629011624812
"9134","NUDT4","Severe","NonSevere",0.114623490105371,0.0996550402453047,0.107684399897199,0.0923725565350709,0.0149684498600667,0.0763723573601781,0.262898398936627,1.77213375208738
"12878","SNAPC5","Severe","NonSevere",0.0467746080699049,0.0318129551552319,0.0436905679773837,0.0310463779225757,0.014961652914673,0.00310441135203766,0.0238171143142625,2.95720550794017
"10577","PRDM2","Severe","NonSevere",0.245695194037522,0.230739747029513,0.199434592649704,0.177845917976236,0.0149554470080093,0.294283363529939,0.575101491719108,1.04877135651144
"1651","C2orf69","Severe","NonSevere",0.0452325880236443,0.0302798006899195,0.0429195579542534,0.0272134917592947,0.0149527873337248,0.00376832909149803,0.0279210654821447,2.89693076429529
"12134","SERPINB10","Severe","NonSevere",0.0226162940118222,0.0076657723265619,0.0174762271909535,0.00651590647757762,0.0149505216852603,5.02345081798525e-05,0.000736682028718812,4.05453323584881
"9253","OMA1","Severe","NonSevere",0.044461578000514,0.0295132234572633,0.0416345412490362,0.0295132234572633,0.0149483545432507,0.0020490855481774,0.0169805282231301,3.08302410727573
"1969","CCDC167","Severe","NonSevere",0.0436905679773837,0.0287466462246071,0.0421485479311231,0.0272134917592947,0.0149439217527766,0.00214257296823476,0.0176561063788442,3.06972312513461
"12582","SLC35A5","Severe","NonSevere",0.0429195579542534,0.0279800689919509,0.0398355178617322,0.0260636259103105,0.0149394889623025,0.00245426423411568,0.01972402256269,3.0289239899552
"8673","NDUFB3","Severe","NonSevere",0.105371369827808,0.0904561134534304,0.0986892829606785,0.0835569183595247,0.0149152563743773,0.0662464882003459,0.238248802467221,1.83675218063966
"11132","RAP1GAP","Severe","NonSevere",0.0149061937805191,0,0.0125931637111282,0,0.0149061937805191,7.98052571323091e-11,3.71220213262437e-09,6.50096715372071
"9148","NUP133","Severe","NonSevere",0.053970701619121,0.0390954388654657,0.050372654844513,0.0360291299348409,0.0148752627536554,0.00873364338141849,0.0548213582953473,2.62230811232078
