,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
DYNLT1,432,665,137,600,294,311,185,509
DYNLT3,138,319,89,563,123,145,59,149
DYRK1A,773,1302,445,1827,731,744,441,624
DYRK1B,36,93,14,82,29,35,22,27
DYRK2,563,1094,591,2557,550,666,380,390
DYRK3,3,18,1,44,30,5,22,16
DYRK4,83,196,50,256,145,66,46,60
DYSF,1700,2628,330,1165,1095,513,1094,1435
DYTN,3,4,2,2,2,0,0,4
DYX1C1,2,1,3,4,4,2,1,1
DZANK1,31,30,13,54,28,21,16,20
DZIP1,5,11,1,7,4,1,6,12
DZIP1L,0,10,0,4,6,4,3,6
DZIP3,89,183,73,532,164,89,71,84
E2F1,27,61,20,126,61,29,13,12
E2F2,280,641,105,632,620,258,600,93
E2F3,333,679,109,688,359,325,214,285
E2F4,316,635,147,754,384,272,192,343
E2F5,25,85,27,98,82,13,9,18
E2F6,73,146,37,203,88,76,42,84
E2F7,17,59,12,81,76,16,13,7
E2F8,15,77,18,96,98,19,8,9
E4F1,118,208,68,367,166,105,75,101
EAF1,442,485,138,753,237,260,228,912
EAF1-AS1,6,12,5,7,4,7,7,10
EAF2,313,1124,147,940,852,252,142,251
EAPP,466,697,322,1018,391,344,252,502
EARS2,27,96,27,135,85,53,29,26
EBAG9,210,559,190,742,413,276,127,224
EBF1,32,79,55,61,24,3,7,48
EBF2,8,6,2,3,3,5,2,11
EBF3,3,2,5,9,5,5,4,5
EBF4,7,13,1,12,7,12,1,0
EBI3,5,2,1,11,2,1,2,0
EBLN2,31,37,19,75,15,21,23,18
EBNA1BP2,292,809,234,1152,706,349,203,303
EBP,419,649,164,1005,545,291,197,180
EBPL,128,267,91,428,197,164,55,106
ECD,143,320,72,410,199,114,97,136
ECE1,1055,1916,367,1997,1011,634,594,1073
ECE2,27,67,8,96,53,21,27,25
ECH1,830,1521,351,1731,954,566,501,666
ECHDC1,435,1068,230,1122,526,386,270,648
ECHDC2,118,177,122,439,112,131,64,66
ECHDC3,36,54,4,17,26,14,12,32
ECHS1,320,780,218,964,550,320,170,511
ECI1,255,491,112,647,367,201,106,278
ECI2,120,289,67,442,167,121,44,84
ECM1,3,2,3,6,6,5,5,3
ECM2,6,10,6,7,4,5,7,4
ECSIT,166,273,52,426,154,111,135,140
ECT2,46,173,24,305,217,89,52,51
ECT2L,4,10,5,15,3,6,8,10
EDA,10,17,29,85,20,30,22,9
EDA2R,5,3,3,7,3,4,3,3
EDAR,3,7,15,48,9,14,12,4
EDARADD,222,354,78,547,210,188,220,298
EDC3,98,235,55,295,204,122,72,101
EDC4,157,287,77,252,285,203,90,88
EDEM1,758,2760,748,2091,2278,1149,513,844
EDEM2,307,606,133,572,568,193,121,235
EDEM3,565,1918,286,1831,1020,561,441,477
EDF1,1359,2872,811,4264,1910,1231,717,1718
EDIL3,1,1,0,12,5,1,2,8
EDN1,4,12,3,10,5,5,4,5
EDN2,4,2,1,1,1,0,1,1
EDN3,2,4,15,4,6,0,3,4
EDNRA,1,2,1,2,3,2,6,3
EDNRB,5,15,0,6,10,1,6,12
EDRF1,239,448,171,697,358,257,112,147
EDRF1-AS1,5,5,6,9,2,7,6,5
EEA1,501,826,247,1439,506,474,330,601
EED,130,273,55,317,194,166,82,76
EEF1A1,10560,24045,9225,44532,15406,12826,7162,22225
EEF1A2,1,0,0,3,0,2,0,2
EEF1B2,1118,2922,1304,6893,2176,1522,944,2209
EEF1D,1336,2548,778,4885,1507,1383,1139,2194
EEF1E1,52,152,38,219,118,68,57,60
EEF2,6006,15108,5146,22784,9870,5854,4121,12695
EEF2K,58,178,48,210,188,127,64,66
EEFSEC,102,218,59,260,177,103,53,103
EEPD1,50,134,24,107,60,68,27,60
EFCAB1,0,2,0,5,0,4,1,6
EFCAB10,4,7,0,5,1,3,3,8
EFCAB11,22,45,17,82,31,23,14,26
EFCAB12,3,14,4,23,6,7,9,9
EFCAB13,92,149,112,233,67,78,23,40
EFCAB14,1086,2267,587,3016,1173,1063,593,1045
EFCAB14-AS1,0,2,2,3,0,1,1,0
EFCAB2,44,66,6,67,24,24,40,72
EFCAB3,1,1,0,4,0,4,1,0
EFCAB4A,41,88,17,77,67,19,5,39
EFCAB4B,218,430,137,521,214,208,107,153
EFCAB5,11,14,4,15,14,9,9,11
EFCAB6,9,13,3,8,7,5,4,8
EFCAB6-AS1,6,11,1,5,2,0,4,5
EFCAB7,24,73,16,88,37,18,13,14
EFCAB8,1,4,1,4,0,0,1,7
EFCC1,4,5,2,9,4,1,1,7
EFEMP1,1,3,0,1,0,1,0,3
EFEMP2,18,32,11,38,13,17,5,33
EFHB,6,11,1,9,4,4,5,13
EFHC1,30,66,33,93,69,22,29,36
EFHC2,7,13,8,38,25,18,8,9
EFHD1,2,2,0,12,3,3,2,5
EFHD2,4278,6252,1412,5840,2542,2153,2023,4676
EFNA1,9,7,3,17,5,15,1,8
EFNA2,40,61,37,59,48,25,23,37
EFNA3,3,13,4,11,5,8,2,3
EFNA4,25,54,12,83,26,24,18,27
EFNA5,55,98,46,69,44,58,20,51
EFNB1,26,41,8,87,31,39,12,55
EFNB2,12,6,3,20,4,9,3,9
EFNB3,2,5,0,6,5,0,1,6
EFR3A,593,1182,288,1394,662,438,357,649
EFR3B,14,9,2,8,4,5,2,12
EFS,0,2,1,4,2,1,1,0
EFTUD1,179,319,89,560,242,165,92,132
EFTUD2,707,1400,291,1359,962,682,457,803
EGF,29,18,13,61,26,30,2,35
EGFL6,1,0,0,1,1,1,1,1
EGFL7,17,18,2,32,39,15,6,13
EGFL8,3,5,4,9,4,4,6,4
EGFLAM,1,4,1,1,3,0,4,6
EGFLAM-AS2,2,0,0,1,0,1,1,1
EGFLAM-AS4,1,1,0,3,3,1,2,3
EGFR,9,7,2,6,10,4,4,9
EGFR-AS1,1,1,0,1,1,2,0,4
EGLN1,448,881,232,1064,434,365,237,487
EGLN2,171,435,111,640,196,165,153,189
EGLN3,13,17,8,79,14,32,8,25
EGOT,5,9,4,9,5,2,3,5
EGR1,441,302,154,603,291,329,512,2221
EGR2,42,68,13,108,40,41,143,367
EGR3,15,16,3,34,4,10,16,215
EGR4,3,0,0,4,0,0,1,0
EHBP1,128,237,76,426,140,155,73,101
EHBP1L1,1459,2497,583,2138,1141,885,810,2503
EHD1,1023,2117,476,2438,889,763,518,1098
EHD2,1,7,1,13,6,3,2,6
EHD3,106,203,81,292,264,138,14,109
EHD4,532,792,165,662,662,669,304,299
EHF,14,7,2,9,7,7,5,5
EHHADH,12,38,7,54,50,34,27,16
EHMT1,548,1192,308,1519,759,488,338,462
EHMT2,271,442,151,783,335,249,133,156
EI24,206,566,144,837,414,286,145,273
EID1,1489,2526,626,3211,1325,1104,872,1721
EID2,112,244,64,375,124,124,56,139
EID2B,29,58,23,85,25,31,16,24
EID3,44,55,22,118,38,56,16,38
EIF1,5859,8015,3764,14151,4495,4102,2838,10837
EIF1AD,154,269,77,337,164,124,80,118
EIF1AX,261,579,184,1194,393,371,188,306
EIF1AX-AS1,4,0,2,4,0,2,0,1
EIF1AY,221,585,178,946,384,253,643,253
EIF1B,252,416,176,486,207,235,244,272
EIF2A,649,1384,371,2034,838,543,364,746
EIF2AK1,1186,2232,658,3524,1510,1148,1308,1184
EIF2AK2,3054,2107,401,1934,1646,2874,1517,919
EIF2AK3,164,562,171,485,432,189,81,128
EIF2AK4,565,1024,251,1136,622,617,258,592
EIF2B1,336,684,178,778,503,342,211,423
EIF2B2,118,276,60,463,224,122,72,92
EIF2B3,107,316,97,456,304,181,109,149
EIF2B4,245,507,139,674,315,263,150,227
EIF2B5,352,768,206,950,487,371,273,307
EIF2B5-AS1,1,1,0,1,0,0,0,1
EIF2D,168,467,143,785,314,220,109,314
EIF2S1,510,1337,257,1712,1100,669,394,400
EIF2S2,552,1308,296,2005,817,670,483,633
EIF2S3,938,2145,657,2907,1419,1097,525,1460
EIF2S3L,344,696,194,1068,434,345,215,463
EIF3A,2534,5348,1331,7659,3436,2295,1995,2797
EIF3B,914,1916,543,2259,1572,974,685,943
EIF3C,1004,1830,927,5587,1498,1744,1127,2764
EIF3CL,339,570,304,1908,467,638,408,836
EIF3D,1100,2347,732,3564,1538,1134,698,1566
EIF3E,882,1977,632,3035,1375,995,573,1629
EIF3F,839,1788,616,3155,942,763,674,1654
EIF3G,1103,2017,514,3018,1284,968,843,1289
EIF3H,1615,3481,1073,5628,2096,1616,992,2624
EIF3I,650,1441,383,2226,1075,665,438,885
EIF3J,388,877,230,1425,676,560,270,379
EIF3J-AS1,76,129,49,255,83,72,48,80
EIF3K,1353,2719,700,4066,1778,1216,841,1938
EIF3L,740,2169,697,3733,1399,838,537,2596
EIF3M,638,1355,300,1563,911,554,413,788
EIF4A1,216,187,189,380,121,146,152,165
EIF4A2,1964,3304,1378,5855,2284,1993,1011,1555
EIF4A3,452,885,239,1382,910,524,354,553
EIF4B,1600,4893,1842,9117,2776,1885,1019,3111
EIF4E,107,262,78,352,139,130,67,123
EIF4E1B,0,0,1,1,3,0,0,0
EIF4E2,565,1105,224,1266,664,437,333,791
EIF4E3,932,1807,275,1235,489,636,599,916
EIF4EBP1,140,294,38,381,162,122,114,347
EIF4EBP2,917,1979,480,2745,1309,937,597,1302
EIF4ENIF1,196,464,131,643,313,241,134,128
EIF4G1,2077,4331,1024,4952,3615,1969,1328,2021
EIF4G2,5795,11154,3149,14326,8746,5603,3180,6230
EIF4G3,1083,2002,526,2529,1083,944,515,890
EIF4H,938,1525,454,1841,1232,943,692,1339
EIF5,2010,3563,1257,5947,2194,1656,1295,2349
EIF5A,676,1184,359,1913,946,645,463,994
EIF5A2,54,126,35,193,43,46,34,36
EIF5AL1,386,729,230,1076,570,327,238,438
EIF5B,880,2135,605,3237,1673,1184,631,789
EIF6,366,714,144,828,394,262,205,464
ELAC1,49,106,40,126,77,69,53,57
ELAC2,377,806,194,1014,663,390,254,317
ELANE,7,65,1,139,188,35,214,49
ELAVL1,304,791,199,1067,539,368,208,369
ELAVL2,2,2,0,3,5,2,1,8
ELAVL3,4,7,2,5,3,2,1,8
ELAVL4,10,9,2,8,3,4,2,21
ELF1,1967,3231,937,4453,1966,2156,1218,1823
ELF2,524,762,310,1285,368,431,292,413
ELF3,32,33,8,24,17,14,8,21
ELF4,550,801,156,778,470,422,275,613
ELF5,9,7,4,6,2,3,4,8
ELFN1,1,3,1,7,3,2,1,3
ELFN2,1,4,1,2,6,1,1,3
ELK1,76,124,28,182,98,73,43,91
ELK3,544,984,224,1164,468,539,318,548
ELK4,721,1593,508,2782,1028,944,529,592
ELL,139,356,58,273,205,92,84,159
ELL2,492,2907,579,2428,2970,726,207,233
ELL3,2,0,0,1,1,2,0,2
ELMO1,308,528,102,606,457,362,180,302
ELMO2,448,701,148,545,358,328,177,308
ELMO3,16,66,8,67,22,24,9,11
ELMOD1,3,4,1,5,4,4,3,6
ELMOD2,90,273,47,273,182,88,65,89
ELMOD3,110,227,60,314,115,98,58,107
ELMSAN1,587,930,297,1252,446,387,266,617
ELN,2,5,1,4,4,4,4,5
ELOF1,176,397,108,582,203,154,165,262
ELOVL1,161,358,63,339,167,135,96,160
ELOVL2,3,2,1,5,6,1,1,1
ELOVL2-AS1,0,0,1,2,1,0,1,3
ELOVL3,8,20,0,7,3,6,6,0
ELOVL4,5,16,0,13,5,4,9,5
ELOVL5,716,1342,294,1829,778,673,500,762
ELOVL6,90,136,63,291,116,103,95,25
ELOVL7,39,25,17,85,29,50,5,45
ELP2,274,474,258,1038,389,279,185,288
ELP3,237,544,138,634,437,299,153,192
ELP4,66,168,37,218,137,84,45,78
ELP5,110,219,78,499,157,160,62,168
ELP6,68,199,49,257,128,79,81,87
ELSPBP1,2,0,1,3,0,0,0,2
ELTD1,3,5,2,3,3,0,2,5
EMB,1528,3579,940,3818,1403,1143,1010,1796
EMC1,250,555,140,701,396,237,167,273
EMC10,328,564,119,519,328,178,135,315
EMC2,103,297,63,300,195,87,85,106
EMC3,436,828,192,992,540,329,416,459
EMC4,677,1291,316,1447,862,501,360,630
EMC6,7,11,0,13,11,6,5,3
EMC7,555,1037,231,1145,785,385,271,431
EMC8,173,367,99,503,226,171,126,206
EMC9,50,115,20,174,96,70,39,35
EMCN,4,11,3,5,1,1,4,9
EMD,129,320,105,485,175,150,84,199
EME1,9,30,9,41,61,18,10,8
EME2,86,107,45,107,53,47,32,56
EMG1,154,403,85,510,234,176,130,141
EMID1,0,0,0,13,7,1,7,3
EMILIN1,16,17,3,23,7,3,5,24
EMILIN2,2590,3861,464,2478,1694,1199,1478,3218
EML1,5,4,4,6,4,4,6,12
EML2,128,214,64,213,141,87,60,98
EML3,250,496,187,634,244,222,185,282
EML4,771,1536,543,2583,869,729,588,814
EML5,34,75,51,197,70,52,26,37
EML6,44,109,21,114,79,17,20,40
EMP1,236,151,18,212,220,279,262,332
EMP2,20,30,10,31,29,8,4,18
EMP3,661,964,222,1046,642,489,328,738
EMR1,367,596,40,280,222,107,320,513
EMR2,425,623,104,311,248,120,347,705
EMR3,12,27,1,10,4,4,22,41
EMX1,0,0,0,4,2,0,0,2
EMX2,5,5,1,3,2,1,6,5
EMX2OS,3,2,1,0,1,1,2,5
EN1,1,2,0,6,2,2,1,6
EN2,3,1,0,2,0,1,1,6
ENAH,18,34,10,35,17,12,13,30
ENAM,12,39,9,42,32,6,12,17
ENC1,300,220,97,606,150,151,103,144
ENDOD1,278,394,175,1212,314,315,216,220
ENDOG,14,18,5,29,9,7,11,4
ENDOU,4,3,0,1,3,2,1,0
ENDOV,35,80,24,96,42,19,35,52
ENG,156,270,24,292,118,149,64,223
ENGASE,109,192,81,314,135,112,39,129
ENHO,6,4,1,6,5,9,1,37
ENKD1,22,70,20,100,26,23,20,42
ENKUR,16,26,11,40,16,55,4,23
ENO1,5809,10769,2162,12862,7201,5286,4717,7559
ENO1-AS1,2,3,1,9,2,4,3,4
ENO1-IT1,11,11,6,23,5,9,13,4
ENO2,59,123,69,347,84,98,48,36
ENO3,38,61,35,147,58,57,10,18
ENO4,10,15,2,10,2,7,2,11
ENOPH1,211,384,112,566,254,210,86,171
ENOSF1,68,154,162,394,116,108,108,60
ENOX1,3,5,2,10,6,5,2,9
ENOX1-AS1,7,1,1,3,1,1,1,9
ENOX2,147,303,89,492,204,146,101,226
ENPEP,4,2,0,4,5,4,4,7
ENPP1,16,30,5,43,9,15,19,35
ENPP2,30,27,10,63,74,36,30,34
ENPP3,4,10,1,7,5,3,2,7
ENPP4,212,477,107,519,169,148,63,107
ENPP5,48,108,16,124,35,69,10,6
ENPP6,2,8,3,6,4,4,2,7
ENPP7,2,2,0,2,5,1,1,0
ENSA,1231,2095,685,3034,1247,978,801,1502
ENTHD1,2,3,0,6,3,0,3,2
ENTHD2,139,213,61,225,91,76,71,102
ENTPD1,484,1292,353,1113,902,487,265,683
ENTPD1-AS1,41,52,20,56,27,27,23,41
ENTPD3,3,1,2,5,3,2,1,4
ENTPD3-AS1,25,57,19,69,30,25,13,38
ENTPD4,626,1421,586,1822,889,482,354,540
ENTPD5,60,111,36,194,83,82,70,52
ENTPD6,127,250,54,263,199,147,77,169
ENTPD7,27,161,32,158,141,47,79,57
ENY2,549,1053,260,1133,528,386,364,731
EOGT,73,105,70,159,83,87,43,54
EOMES,206,589,91,954,272,702,108,72
EP300,1701,2988,895,3487,1536,1246,944,1543
EP400,646,1237,432,1462,726,612,345,483
EP400NL,193,314,119,447,269,143,118,216
EPAS1,31,69,5,55,35,34,9,31
EPB41,1434,2760,1149,5906,1876,1389,4127,1016
EPB41L1,9,9,1,4,9,4,6,5
EPB41L2,175,275,94,367,233,127,63,216
EPB41L3,512,450,73,468,381,382,213,844
EPB41L4A,49,49,26,75,18,41,9,23
EPB41L4A-AS1,276,307,129,531,154,194,159,232
EPB41L4A-AS2,1,1,0,3,1,1,0,0
EPB41L4B,2,2,1,6,3,5,4,6
EPB41L5,29,53,29,113,33,16,22,26
EPB42,48,50,24,233,34,21,479,36
EPC1,827,1348,558,2429,560,747,427,709
EPC2,556,793,304,1358,434,431,238,432
EPCAM,3,1,1,8,7,2,4,7
EPDR1,18,45,7,43,42,37,18,12
EPG5,300,573,134,708,380,366,192,276
EPGN,5,1,0,4,1,3,1,4
EPHA1,15,36,17,60,19,39,14,14
EPHA1-AS1,30,44,31,156,24,43,35,18
EPHA10,9,1,2,6,6,4,5,4
EPHA2,8,6,0,6,6,6,2,7
EPHA3,2,6,3,6,4,3,2,9
EPHA4,62,133,66,254,28,32,39,42
EPHA5,2,4,0,2,5,3,1,6
EPHA6,0,1,2,2,2,0,1,2
EPHA7,2,1,2,2,4,0,3,8
EPHA8,1,1,0,2,2,0,0,2
EPHB1,13,20,2,16,22,9,8,12
EPHB2,299,262,12,54,161,113,118,48
EPHB3,1,9,1,21,13,4,5,3
EPHB4,7,12,14,38,10,13,7,26
EPHB6,95,222,61,340,67,107,39,116
EPHX1,20,38,15,31,34,13,23,12
EPHX2,31,47,77,262,73,80,27,9
EPHX3,2,1,1,6,1,0,1,3
EPHX4,13,23,4,17,14,14,2,7
EPM2A,27,49,28,68,37,25,21,36
EPM2AIP1,335,676,262,1018,325,302,163,267
EPN1,148,288,47,276,150,117,107,166
EPN2,27,73,38,81,59,18,25,14
EPN2-AS1,2,2,1,1,1,2,1,2
EPN3,0,1,2,5,2,0,1,3
EPO,0,1,1,1,1,0,0,3
EPOR,11,61,5,70,20,15,17,25
EPPIN,4,0,3,3,8,0,2,5
EPPK1,24,53,21,63,13,18,21,21
EPRS,1019,2659,830,3769,2326,1303,694,868
EPS15,810,1734,398,1744,1079,753,446,832
EPS15L1,243,412,134,498,240,209,111,249
EPS8,50,103,6,64,29,12,25,134
EPS8L1,28,41,9,36,23,17,19,25
EPS8L2,16,41,24,89,30,17,22,14
EPS8L3,1,0,1,0,0,0,0,1
EPSTI1,2673,1924,399,1647,1300,1823,1253,1218
EPT1,165,403,108,440,391,209,107,123
EPX,1,1,1,3,8,1,1,3
EPYC,0,0,0,1,0,1,1,2
EQTN,1,2,1,0,1,2,0,1
ERAL1,63,147,43,132,146,56,38,53
ERAP1,817,1585,387,2534,1388,799,379,773
ERAP2,296,367,754,728,1216,327,195,2328
ERBB2,89,88,40,111,56,62,17,53
ERBB2IP,2296,4106,997,5370,2153,1727,1219,1939
ERBB3,6,29,18,30,21,11,16,31
ERBB4,7,19,4,16,6,6,13,15
ERC1,440,1000,228,1287,698,409,204,361
ERC2,15,7,3,6,3,4,5,9
ERCC1,195,368,90,402,222,148,153,302
ERCC2,53,108,31,133,82,35,45,58
ERCC3,314,563,216,853,411,300,183,264
ERCC4,59,179,51,274,128,91,66,64
ERCC5,315,612,212,825,293,293,207,256
ERCC6,76,145,54,167,75,47,35,52
ERCC6L,8,47,12,100,87,13,7,2
ERCC6L2,273,526,184,754,298,398,187,185
ERCC8,47,87,31,115,67,38,35,44
EREG,177,98,62,294,58,168,32,442
ERF,36,74,18,74,57,32,18,38
ERG,7,41,4,45,52,12,24,15
ERGIC1,543,917,290,880,619,216,204,458
ERGIC2,291,753,206,1111,469,359,176,187
ERGIC3,507,1130,305,1320,1098,451,286,766
ERH,492,1188,330,1334,874,564,366,651
ERI1,133,321,72,379,218,155,100,107
ERI2,22,70,3,82,52,42,18,20
ERI3,59,122,37,178,70,54,42,78
ERICH1,565,1032,312,1299,407,337,305,593
ERICH1-AS1,1,1,0,1,2,3,0,7
ERLEC1,578,2075,470,2525,1704,708,316,452
ERLIN1,298,551,89,358,287,226,185,346
ERLIN2,264,528,89,484,338,244,112,234
ERMAP,69,130,20,105,40,26,68,73
ERMARD,128,217,70,192,127,110,75,100
ERMN,72,35,45,62,23,23,33,51
ERMP1,145,291,91,559,239,163,84,142
ERN1,479,792,205,654,344,534,204,271
ERN2,3,4,1,8,5,2,3,6
ERO1L,927,1800,340,1742,1039,523,409,823
ERO1LB,108,251,72,296,114,98,67,86
ERP27,40,60,31,88,24,19,31,24
ERP29,2009,3972,969,5140,2458,1453,881,1816
ERP44,653,1158,312,1242,874,615,297,619
ERRFI1,37,31,9,51,10,9,5,18
ERV3-1,55,109,67,141,46,64,32,39
ERVFRD-1,8,8,2,12,7,3,6,1
ERVH48-1,7,9,3,11,4,5,5,7
ERVK13-1,76,166,73,193,70,117,43,73
ERVK3-1,92,189,95,289,98,96,38,57
ERVMER34-1,4,4,0,3,2,4,0,2
ERVMER61-1,0,1,0,0,1,1,0,3
ERVV-1,1,0,1,1,2,1,4,3
ERVV-2,1,1,1,2,1,0,3,2
ERVW-1,3,9,1,10,3,6,5,7
ESAM,34,40,13,84,50,56,8,45
ESCO1,389,538,185,1070,313,319,228,327
ESCO2,27,113,25,217,117,54,27,14
ESD,306,591,131,688,305,287,194,389
ESF1,167,349,101,586,234,227,154,201
ESM1,1,2,0,4,2,4,1,3
ESPL1,34,49,13,87,108,19,24,20
ESPN,0,3,0,6,1,2,9,1
ESPNL,1,2,3,5,0,0,0,0
ESR1,23,68,31,69,51,23,25,24
ESR2,28,26,25,60,14,19,18,19
ESRG,3,1,0,3,1,0,5,3
ESRP1,5,8,2,9,5,2,4,12
ESRP2,9,7,8,16,8,6,2,6
ESRRA,50,116,17,110,52,45,53,91
ESRRB,10,4,0,9,5,6,5,4
ESRRG,12,19,3,17,5,5,7,26
ESYT1,552,1164,288,2038,1037,841,400,475
ESYT2,930,1881,560,2344,1016,882,586,774
ESYT3,16,14,3,12,13,2,8,22
ETAA1,97,225,92,383,134,129,71,100
ETF1,807,1643,430,2244,1122,760,574,1197
ETFA,491,1072,229,1034,756,398,304,529
ETFB,326,700,152,833,340,229,239,302
ETFDH,138,297,52,298,214,104,76,102
ETHE1,167,357,87,487,108,191,134,248
ETNK1,474,1235,246,1632,703,565,303,447
ETNK2,2,4,2,7,2,5,0,1
ETNPPL,4,3,0,3,1,1,2,3
ETS1,3056,5870,3094,16180,3526,4286,2374,1346
ETS2,798,628,104,519,201,562,235,1388
ETV1,8,12,4,17,8,8,7,12
ETV2,5,9,3,22,6,4,1,14
ETV3,213,539,118,667,244,210,145,259
ETV3L,6,6,2,11,7,1,1,1
ETV4,2,3,0,2,2,0,0,2
ETV5,9,21,6,20,8,6,7,24
ETV6,582,857,226,1016,587,426,492,922
ETV7,96,66,6,42,40,75,80,140
EVA1B,69,108,12,118,36,24,19,54
EVA1C,81,96,37,156,36,43,12,14
EVC,38,47,11,28,34,7,12,28
EVC2,28,26,15,41,27,7,7,9
EVI2A,677,1531,175,1432,527,553,271,935
EVI2B,1747,4028,647,2950,1322,962,850,1942
EVI5,217,426,88,410,161,77,138,455
EVI5L,62,119,35,119,71,44,42,83
EVL,1236,2019,1160,5345,1188,1514,769,835
EVPL,5,4,2,14,5,5,7,10
EVX1,1,1,0,2,0,1,1,2
EVX2,1,2,0,5,3,3,1,0
EWSR1,1644,2772,1045,3322,1802,1424,984,1492
EXD1,5,6,4,3,3,0,0,4
EXD2,36,99,27,80,78,56,21,38
EXD3,37,45,20,46,27,24,18,38
EXO1,23,106,15,204,170,56,17,13
EXO5,35,57,22,78,47,41,16,19
EXOC1,291,682,123,729,411,295,274,356
EXOC2,291,643,127,850,378,316,152,244
EXOC3,623,1193,267,1342,659,507,401,714
EXOC3L1,15,9,0,8,9,10,3,18
EXOC3L2,3,2,0,7,0,2,0,7
EXOC3L4,0,0,0,2,4,1,0,1
EXOC4,404,799,193,941,519,366,218,411
EXOC5,363,862,213,1361,548,411,280,386
EXOC6,219,403,79,481,211,205,152,203
EXOC6B,73,117,56,219,92,70,43,68
EXOC7,471,619,171,589,443,360,260,349
EXOC8,351,567,246,841,268,269,157,247
EXOG,83,140,66,213,91,81,53,40
EXOSC1,227,538,125,626,401,227,166,278
EXOSC10,444,771,277,1067,585,396,261,346
EXOSC2,144,333,121,572,272,185,92,119
EXOSC3,125,351,35,245,145,96,55,65
EXOSC4,74,295,38,323,182,95,62,97
EXOSC5,75,163,43,285,122,94,46,91
EXOSC6,204,254,100,395,139,119,59,70
EXOSC7,178,316,83,406,191,144,81,168
EXOSC8,189,435,137,620,326,188,115,104
EXOSC9,235,333,130,657,330,295,172,180
EXPH5,25,44,15,96,27,26,19,33
EXT1,161,248,61,279,135,106,82,196
EXT2,278,423,84,422,325,243,81,203
EXTL1,0,2,0,1,3,0,2,2
EXTL2,15,33,21,119,30,56,9,17
EXTL3,278,475,92,390,246,184,108,277
EXTL3-AS1,15,14,9,15,8,8,6,18
EYA1,4,10,4,13,2,0,2,4
EYA2,2,12,0,10,15,4,2,1
EYA3,126,297,86,364,224,161,104,102
EYA4,5,6,2,5,7,4,7,10
EYS,59,90,32,152,42,38,30,50
EZH1,348,664,261,1079,296,272,171,214
EZH2,191,421,133,946,500,307,143,115
EZR,2896,5280,1757,8320,4090,2384,1740,2559
F10,2,2,0,1,1,2,3,2
F10-AS1,0,3,0,0,1,0,0,3
F11,3,2,3,4,4,3,2,0
F11-AS1,3,3,1,0,1,0,0,2
F11R,253,415,61,376,157,296,97,270
F12,12,35,3,30,15,7,16,13
F13A1,824,1403,130,1070,1273,662,133,2406
F2,4,0,1,0,3,2,1,0
F2R,398,659,196,806,309,338,99,106
F2RL1,60,157,23,59,72,34,32,53
F2RL2,20,26,13,44,13,10,19,12
F2RL3,12,11,0,33,11,13,5,19
F3,6,7,5,15,4,6,3,26
F5,960,1719,236,1132,549,457,946,745
F7,4,4,2,4,4,6,1,1
F8,63,100,20,89,41,52,28,49
F8A1,66,90,22,129,46,35,40,57
F8A2,256,381,116,520,177,133,108,217
FA2H,3,7,2,10,12,6,1,2
FAAH,10,24,9,34,26,13,3,45
FAAH2,9,30,23,57,12,23,20,3
FABP1,1,2,1,3,1,2,0,4
FABP2,2,2,0,3,1,0,2,3
FABP3,2,2,0,1,3,1,0,1
FABP4,0,0,1,0,0,1,1,2
FABP5,32,59,23,139,68,38,29,16
FABP6,1,2,0,1,0,0,0,1
FABP7,7,4,0,10,0,2,3,4
FADD,3,21,3,17,18,18,10,6
FADS1,545,754,119,579,448,358,202,541
FADS2,161,186,45,205,197,158,49,200
FADS3,70,107,64,80,59,29,17,67
FADS6,2,6,2,3,1,3,4,3
FAF1,244,479,143,652,382,269,115,239
FAF2,281,721,178,884,609,327,220,248
FAH,109,166,29,157,108,153,34,104
FAHD1,149,286,51,286,117,114,98,105
FAHD2A,86,151,73,268,139,87,42,74
FAHD2B,49,102,35,176,96,46,28,34
FAIM,36,80,43,115,49,48,27,40
FAIM2,2,2,1,8,10,3,1,2
FAIM3,319,877,402,1634,430,449,201,209
FAM101A,3,11,0,8,0,2,2,6
FAM101B,852,2752,588,2421,543,472,653,1320
FAM102A,95,288,159,848,166,249,141,62
FAM102B,197,308,63,412,230,182,157,233
FAM103A1,46,68,24,82,37,29,26,47
FAM104A,162,335,74,390,224,148,261,95
FAM104B,39,90,27,170,56,49,51,51
FAM105A,555,971,153,823,360,466,330,667
FAM105B,342,624,196,983,458,383,219,343
FAM106A,4,13,5,10,7,0,2,15
FAM107A,5,13,4,8,8,2,2,7
FAM107B,1171,2878,914,4792,1389,1406,1225,1526
FAM109A,23,79,6,51,21,18,14,37
FAM109B,10,44,4,39,35,20,19,30
FAM110A,140,297,45,295,98,70,43,178
FAM110B,37,73,12,37,22,15,27,90
FAM110C,5,7,5,5,2,7,0,2
FAM111A,799,1469,453,2250,955,805,412,802
FAM111B,26,157,30,482,183,156,28,10
FAM114A1,27,53,3,67,42,32,21,48
FAM114A2,138,352,68,425,247,167,104,136
FAM115A,122,269,99,334,111,146,51,125
FAM115C,67,60,56,181,44,56,49,32
FAM117A,262,436,154,626,229,243,321,167
FAM117B,163,335,105,488,146,144,101,180
