,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
OR4D1,3,2,0,4,1,3,2,6
OR4D11,4,0,0,1,1,1,1,0
OR4D5,1,3,1,0,1,0,1,0
OR4D6,0,3,0,1,2,0,1,0
OR4F17,0,1,0,4,3,0,1,2
OR4F4,1,1,0,0,0,1,1,3
OR4F5,1,1,0,0,1,2,1,2
OR4K1,7,1,0,5,1,1,0,4
OR4K14,4,3,0,3,4,1,1,1
OR4K15,0,0,0,1,1,2,1,1
OR4K2,11,11,2,7,4,5,11,15
OR4M2,2,3,0,0,1,0,2,1
OR4N2,4,4,2,2,1,1,2,9
OR4Q3,3,3,1,1,1,0,1,5
OR4X1,0,3,0,0,3,1,1,0
OR51E1,4,1,0,7,7,2,1,4
OR51E2,3,1,0,5,0,3,5,5
OR51G2,1,0,0,2,0,1,3,2
OR51L1,0,1,0,1,0,0,1,1
OR51V1,0,2,1,1,1,1,1,7
OR52A1,1,3,0,4,1,1,3,2
OR52B2,0,3,0,1,2,1,0,0
OR52B6,2,1,2,1,1,1,1,1
OR52E2,3,0,0,0,2,2,0,0
OR52H1,0,1,0,0,1,0,1,1
OR52K1,1,3,1,1,5,1,0,1
OR52K2,2,3,0,2,2,2,0,4
OR52N4,11,2,3,6,5,2,4,4
OR52R1,1,1,1,0,1,0,2,4
OR56A1,3,3,0,1,1,1,3,4
OR56B1,1,0,3,3,1,1,0,0
OR56B4,4,2,0,2,2,1,2,4
OR5A1,0,1,2,2,0,2,0,2
OR5AC2,1,0,0,1,2,1,0,3
OR5B12,0,0,0,0,1,3,1,1
OR5C1,1,2,1,4,0,2,3,1
OR5D13,0,2,0,2,1,3,0,1
OR5F1,0,3,0,1,0,0,4,0
OR5H1,0,2,0,1,1,0,0,1
OR5R1,0,0,0,0,2,1,1,1
OR5V1,2,1,0,0,2,2,0,1
OR5W2,2,4,1,2,0,4,1,4
OR6A2,0,0,0,3,2,0,0,2
OR6C3,1,2,0,2,1,0,1,0
OR6C68,2,0,0,1,1,0,2,0
OR6C74,1,0,0,2,1,0,2,1
OR6C76,0,0,1,6,1,2,0,4
OR6K6,0,2,0,1,2,1,0,0
OR6M1,0,1,0,2,0,1,1,2
OR6N1,0,0,0,2,3,0,1,0
OR6N2,1,2,0,2,1,0,0,0
OR6S1,1,1,0,2,2,0,1,1
OR6V1,0,2,0,1,0,0,1,4
OR7A10,1,0,0,2,2,0,0,1
OR7A5,1,4,0,3,0,1,0,1
OR7C1,0,3,0,3,0,0,3,0
OR7C2,0,3,0,0,0,0,0,2
OR7D2,7,8,1,6,2,10,5,9
OR7D4,1,2,0,1,0,1,2,3
OR7E24,2,4,1,5,2,2,0,4
OR7G2,2,0,0,2,2,0,1,3
OR8B2,4,0,0,0,2,0,1,0
OR8B3,4,0,0,5,1,2,0,1
OR8D1,2,0,1,0,1,1,1,2
OR8D2,0,1,0,0,1,2,0,0
OR8H1,0,2,0,0,1,0,0,0
OR8H2,1,2,1,4,0,2,2,6
OR8H3,1,0,0,4,1,0,1,4
OR8J1,2,1,1,6,0,0,3,2
OR8S1,9,1,3,3,3,0,4,10
OR9A4,1,1,2,6,1,0,1,2
OR9G1,0,0,0,0,0,0,2,1
OR9G4,0,1,0,3,0,0,0,2
OR9K2,1,0,0,3,0,1,0,1
OR9Q1,0,3,2,4,3,2,1,4
ORAI1,359,629,168,1262,291,407,153,301
ORAI2,406,1056,359,1639,658,258,323,785
ORAI3,80,171,35,151,65,57,53,135
ORAOV1,64,134,63,186,93,85,36,61
ORC1,23,110,23,181,165,46,26,4
ORC2,120,383,105,565,279,222,126,111
ORC3,138,285,85,405,227,150,84,104
ORC4,128,321,70,454,194,227,69,121
ORC5,42,141,25,192,123,71,41,26
ORC6,56,102,35,228,137,49,32,19
ORM1,17,64,5,16,8,3,24,15
ORM2,5,11,3,5,0,2,4,3
ORMDL1,649,1310,391,1417,533,517,332,566
ORMDL2,126,249,46,330,152,98,93,101
ORMDL3,552,1002,329,2063,651,520,202,215
OS9,1885,3403,644,2902,2262,1294,1083,1834
OSBP,366,981,224,1172,782,448,268,340
OSBP2,17,15,6,78,26,16,474,22
OSBPL10,117,255,168,373,227,105,66,122
OSBPL10-AS1,6,10,4,6,2,2,4,3
OSBPL11,640,1416,237,1235,708,398,440,677
OSBPL1A,61,111,23,90,106,169,51,155
OSBPL2,309,645,161,697,368,242,225,283
OSBPL3,266,422,168,767,269,329,150,132
OSBPL5,143,171,74,117,115,109,57,124
OSBPL6,22,24,18,31,41,23,11,18
OSBPL7,97,140,70,207,102,103,49,51
OSBPL8,1939,4006,956,5371,1575,1335,1162,2818
OSBPL9,331,781,182,800,516,271,203,244
OSCAR,465,872,83,359,182,92,198,449
OSCP1,2,9,5,9,9,3,2,6
OSER1,346,434,193,644,258,223,220,403
OSER1-AS1,9,44,33,136,27,26,16,34
OSGEP,189,330,136,482,209,186,101,277
OSGEPL1,31,106,31,171,53,45,29,31
OSGEPL1-AS1,1,5,0,8,4,0,1,4
OSGIN1,14,32,6,28,8,10,15,17
OSGIN2,184,289,77,352,134,129,95,259
OSM,50,50,23,209,25,51,39,268
OSMR,13,11,7,25,3,6,10,8
OSR1,8,4,1,7,4,1,5,10
OSR2,10,4,1,6,3,2,4,10
OST4,270,886,199,1293,526,446,231,574
OSTC,306,1047,200,1103,840,407,178,402
OSTF1,1002,1985,349,2118,872,839,604,994
OSTM1,434,916,151,1016,502,403,240,425
OSTM1-AS1,1,1,1,2,4,0,1,3
OSTN,2,1,0,5,1,2,0,0
OSTN-AS1,1,4,2,10,3,2,0,3
OTOA,11,15,2,17,10,7,8,15
OTOF,1761,847,6,61,581,196,191,4
OTOG,3,3,0,4,4,4,0,3
OTOGL,6,2,0,3,2,0,2,8
OTOP2,2,0,0,2,0,5,1,3
OTOP3,0,0,0,1,3,1,1,1
OTOR,3,2,1,4,0,1,1,3
OTP,3,1,2,1,2,0,1,1
OTUB1,546,1018,240,1326,574,408,319,579
OTUB2,40,32,26,73,16,16,15,22
OTUD1,535,484,215,737,307,237,371,1825
OTUD3,114,176,112,277,85,85,38,61
OTUD4,532,875,326,1384,520,514,260,496
OTUD5,586,1024,319,1516,677,452,333,468
OTUD6A,2,0,0,1,0,0,1,1
OTUD6B,78,150,55,269,126,130,67,78
OTUD7A,5,2,1,11,2,4,4,11
OTUD7B,113,206,58,287,142,135,47,49
OTX1,1,3,0,8,6,4,2,1
OTX2,2,1,0,1,1,3,3,4
OTX2-AS1,1,3,2,3,8,1,0,8
OVCH1,0,4,1,4,0,0,1,2
OVCH1-AS1,19,27,8,82,25,21,16,22
OVGP1,11,19,13,31,9,12,22,12
OVOL1,2,2,0,1,1,0,0,0
OVOL2,2,2,1,2,1,1,0,3
OXA1L,596,1308,352,1559,943,554,449,853
OXCT1,196,497,227,979,535,295,119,112
OXCT2,5,19,3,9,10,4,1,2
OXER1,12,25,1,20,5,4,5,26
OXGR1,2,3,0,1,2,2,1,2
OXLD1,218,429,91,620,261,172,125,217
OXNAD1,206,385,285,1538,259,427,200,76
OXR1,397,855,209,1115,537,256,228,424
OXSM,24,77,9,91,51,31,15,25
OXSR1,673,1148,297,1437,682,623,412,661
OXT,1,2,0,4,1,0,0,1
OXTR,11,12,14,47,20,12,2,11
P2RX1,341,683,85,324,288,121,170,346
P2RX3,2,1,1,2,4,2,1,7
P2RX4,400,731,158,466,287,226,200,437
P2RX5,132,390,222,583,283,132,59,83
P2RX5-TAX1BP3,31,31,28,93,18,24,22,24
P2RX6,2,2,0,8,3,4,1,1
P2RX7,280,428,96,562,217,105,168,488
P2RY1,43,40,3,60,30,19,16,26
P2RY10,52,240,79,436,156,125,43,47
P2RY11,36,66,44,175,42,53,45,30
P2RY12,25,23,6,33,9,24,0,30
P2RY13,322,713,46,236,212,205,265,483
P2RY14,8,30,29,26,15,37,8,27
P2RY2,75,89,9,38,32,33,36,60
P2RY6,34,11,1,10,25,45,21,11
P2RY8,922,1668,414,2421,855,900,447,581
P4HA1,173,334,91,415,168,195,67,160
P4HA2,5,16,3,17,6,9,7,19
P4HA3,4,4,1,3,3,3,2,10
P4HB,1625,3658,784,3716,3521,1614,1099,1610
P4HTM,127,226,73,375,147,125,74,90
PA2G4,458,1022,398,1968,949,692,488,504
PAAF1,52,170,34,185,112,87,32,46
PABPC1,10806,21676,8098,39022,11808,9670,7899,20023
PABPC1L,93,166,119,283,126,48,47,61
PABPC1L2A,1,2,0,2,1,0,1,3
PABPC3,373,738,271,1253,411,357,303,676
PABPC4,778,1654,653,2714,1339,770,375,1068
PABPC4L,0,1,1,0,0,1,1,2
PABPC5,0,0,3,2,1,1,0,1
PABPN1,196,299,133,485,169,135,72,227
PABPN1L,1,2,1,1,0,0,0,3
PACRG,4,3,0,2,2,3,0,6
PACRGL,29,69,19,56,26,26,16,46
PACS1,505,889,402,1386,446,459,269,447
PACS2,210,327,91,366,180,184,123,253
PACSIN1,9,23,6,52,53,22,17,11
PACSIN2,544,1063,167,1045,535,427,380,689
PACSIN3,0,0,0,3,2,3,1,0
PADI1,1,1,1,1,3,2,5,6
PADI2,230,491,96,212,63,100,108,293
PADI3,1,1,0,3,3,1,0,2
PADI4,518,1449,179,745,350,147,293,599
PADI6,2,0,0,21,11,10,1,6
PAEP,0,7,0,3,2,3,2,3
PAF1,396,879,226,1222,642,410,227,378
PAFAH1B1,997,2219,552,2974,1225,918,689,991
PAFAH1B2,412,1017,248,1286,503,436,361,536
PAFAH1B3,95,288,61,399,190,139,110,103
PAFAH2,143,343,78,296,125,166,101,76
PAG1,1227,2413,577,3900,915,1338,1035,1266
PAGE2B,1,1,1,4,0,0,32,0
PAGE5,0,2,1,2,0,0,2,0
PAGR1,280,750,142,946,414,298,176,274
PAH,3,2,3,8,6,1,2,5
PAICS,181,569,159,1259,742,344,159,160
PAIP1,186,324,74,497,202,158,72,153
PAIP2,626,970,278,1233,513,446,307,561
PAIP2B,39,85,42,165,41,27,23,31
PAK1,1112,1892,148,1576,983,677,658,1524
PAK1IP1,156,314,71,533,277,159,95,136
PAK2,1598,2917,658,3570,1380,1296,863,1714
PAK3,3,10,5,19,4,11,8,11
PAK4,20,49,4,45,23,21,14,26
PAK6,6,12,4,10,5,13,0,5
PAK7,5,3,0,7,3,2,1,4
PALB2,77,200,46,311,149,138,65,72
PALD1,3,28,6,27,48,14,1,14
PALLD,116,171,59,329,122,138,36,100
PALM,2,4,1,4,4,0,2,5
PALM2,9,7,2,15,12,3,6,12
PALM3,1,2,1,4,4,2,1,2
PALMD,12,12,2,9,7,7,2,12
PAM,97,240,39,208,136,135,49,86
PAM16,4,13,8,15,4,4,5,4
PAMR1,3,1,0,2,1,3,2,0
PAN2,211,419,127,488,330,272,86,178
PAN3,527,842,301,856,459,424,264,456
PAN3-AS1,12,21,5,24,11,13,7,16
PANK1,18,18,3,27,24,22,8,9
PANK2,435,783,147,799,393,357,179,403
PANK3,471,1138,268,1279,646,493,309,432
PANK4,87,197,37,220,136,87,66,69
PANX1,181,325,77,392,195,183,106,137
PANX2,9,18,1,14,8,0,6,9
PANX3,1,0,1,2,3,1,3,4
PAOX,25,75,12,57,41,18,12,41
PAPD4,407,858,214,860,583,469,215,351
PAPD5,447,589,209,1199,376,446,216,380
PAPD7,125,231,82,227,135,138,85,139
PAPL,2,1,2,1,4,2,2,2
PAPLN,32,49,16,50,19,16,16,36
PAPOLA,2157,5168,1281,7868,2973,2031,1174,2368
PAPOLB,3,7,0,7,3,1,3,6
PAPOLG,201,477,121,687,271,220,133,136
PAPPA,6,5,4,7,1,4,4,7
PAPPA-AS2,1,0,0,4,1,1,2,2
PAPPA2,7,7,2,10,10,4,5,12
PAPSS1,383,804,118,688,602,266,237,520
PAPSS2,55,102,21,111,43,35,37,74
PAQR3,61,103,40,193,92,61,39,44
PAQR4,11,7,0,17,9,8,5,6
PAQR5,5,6,4,2,3,0,2,6
PAQR6,10,16,7,27,15,4,7,10
PAQR7,31,34,10,38,22,16,11,55
PAQR8,107,291,104,421,177,195,60,119
PAQR9,3,4,1,5,3,2,3,5
PARD3,17,18,4,79,19,34,2,43
PARD3B,11,8,6,15,7,2,6,9
PARD6A,20,59,6,124,34,20,17,15
PARD6B,25,56,28,110,62,35,24,21
PARD6G,3,5,2,11,7,6,2,7
PARG,72,154,51,250,95,81,52,71
PARK2,3,3,6,11,4,6,5,8
PARK7,949,2185,582,3300,1578,1222,737,1519
PARL,379,790,150,750,377,295,265,643
PARM1,42,265,51,230,341,44,22,50
PARN,367,649,199,870,442,368,197,325
PARP1,993,2795,775,4710,2697,1495,672,744
PARP10,259,259,59,383,209,232,84,81
PARP11,225,333,83,521,189,262,139,164
PARP12,857,750,168,652,475,531,381,453
PARP14,2986,3261,818,3029,2426,4090,2498,2826
PARP15,307,440,397,837,225,320,108,142
PARP16,81,179,64,260,90,110,50,57
PARP2,52,227,77,412,239,110,51,49
PARP3,66,71,35,98,76,44,22,56
PARP4,1266,2322,525,2215,1618,1128,731,1001
PARP6,329,453,154,503,243,232,121,270
PARP8,1149,1931,601,2517,871,1090,441,917
PARP9,2380,2291,361,2848,1667,2441,1666,1483
PARPBP,24,84,28,168,86,34,24,19
PARS2,7,14,5,25,17,8,2,3
PART1,5,10,2,9,5,9,1,18
PARVA,13,16,0,15,5,9,9,21
PARVB,149,281,65,297,208,132,90,280
PARVG,793,1438,350,1276,597,620,375,954
PASD1,0,0,1,0,2,1,1,5
PASK,61,163,77,420,125,83,70,43
PATE1,2,2,0,5,0,1,1,1
PATE2,4,4,1,4,2,2,3,2
PATE4,1,1,2,1,4,3,1,3
PATL1,674,773,223,819,509,423,295,535
PATL2,586,609,229,464,235,146,104,69
PATZ1,136,232,85,391,159,163,59,122
PAWR,44,121,93,293,122,34,16,53
PAX1,1,3,0,3,0,1,3,1
PAX2,2,2,0,1,4,1,2,3
PAX3,2,8,0,4,1,5,1,10
PAX4,1,1,0,1,3,1,2,2
PAX5,182,483,443,618,184,59,60,259
PAX6,30,42,16,79,27,15,9,37
PAX7,4,1,1,2,5,0,0,5
PAX8,16,27,14,33,20,14,12,14
PAX8-AS1,88,168,88,219,124,95,88,93
PAX9,7,2,2,6,4,1,1,4
PAXBP1,435,866,296,1233,461,399,244,328
PAXBP1-AS1,33,68,15,40,32,22,25,33
PAXIP1,156,283,94,470,201,136,83,127
PAXIP1-AS1,62,101,66,171,30,55,30,67
PAXIP1-AS2,53,96,20,166,47,35,28,50
PBDC1,164,420,77,549,251,187,96,118
PBK,25,77,22,142,83,20,6,1
PBLD,32,58,29,41,18,33,12,44
PBOV1,5,0,0,1,3,0,1,3
PBRM1,1116,2436,654,3675,1487,1025,700,1089
PBX1,36,61,16,147,41,27,60,78
PBX2,417,643,201,707,409,324,210,379
PBX3,122,204,67,347,107,87,79,176
PBX4,43,64,54,120,22,58,13,19
PBXIP1,953,1737,580,3284,1024,1374,519,587
PC,9,18,1,35,12,11,19,28
PCA3,4,3,1,5,6,1,3,5
PCAT1,5,7,4,20,4,4,6,4
PCAT4,2,2,0,2,1,0,1,1
PCAT6,0,2,3,2,3,0,2,0
PCAT7,6,3,2,9,1,1,3,3
PCBD1,73,93,24,194,78,76,34,57
PCBD2,47,121,51,182,69,49,56,85
PCBP1,1409,2758,629,3242,1461,1167,866,1757
PCBP1-AS1,119,189,75,274,112,97,59,132
PCBP2,1186,2066,800,3137,868,925,670,1761
PCBP3,8,15,5,11,5,2,2,12
PCBP4,21,37,13,55,13,15,14,15
PCCA,83,212,52,196,141,77,30,109
PCCB,141,275,73,245,209,81,76,110
PCDH1,21,25,8,22,12,7,4,11
PCDH10,2,5,1,10,0,1,1,4
PCDH11X,4,6,0,3,3,2,3,12
PCDH11Y,3,0,1,4,2,1,1,8
PCDH12,17,29,7,25,17,17,10,15
PCDH15,5,15,1,7,6,3,7,18
PCDH17,13,7,4,15,8,7,8,24
PCDH18,1,4,1,6,4,2,1,1
PCDH19,3,0,1,9,2,2,2,8
PCDH20,4,5,1,7,2,1,0,8
PCDH7,6,10,2,10,8,7,12,14
PCDH8,0,1,0,5,0,0,1,0
PCDH9,30,114,98,184,41,13,12,54
PCDHA1,0,2,0,1,1,2,0,0
PCDHA10,2,1,0,2,0,0,0,2
PCDHA11,1,0,1,2,0,0,2,0
PCDHA12,3,1,1,1,0,0,2,3
PCDHA13,1,0,1,1,4,1,1,0
PCDHA2,3,1,1,1,1,1,3,1
PCDHA3,1,3,1,1,2,2,1,2
PCDHA4,0,2,1,1,1,1,2,2
PCDHA5,1,0,0,1,1,0,1,4
PCDHA8,1,1,0,1,1,0,1,2
PCDHA9,10,14,3,11,1,5,4,17
PCDHAC1,1,2,0,3,1,0,1,2
PCDHAC2,2,1,1,0,0,1,1,3
PCDHB1,1,2,0,2,2,2,1,1
PCDHB10,2,1,1,4,0,0,0,1
PCDHB11,6,14,2,8,6,4,3,7
PCDHB12,0,0,1,2,2,0,1,4
PCDHB13,1,1,1,4,3,0,1,3
