id,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
SDHB,2.207413409,-2.207413409,0.027373761,0.027373761,0.960437284,-0.960437284,0.136745404,0.118316118,0.018429286,-0.018429286
SDHC,2.600246927,-2.600246927,0.009369728,0.009369728,1.17533687,-1.17533687,0.160072544,0.13667362,0.023398925,-0.023398925
SDHD,1.152867844,-1.152867844,0.249073092,0.249073092,0.338704741,-0.338704741,0.076074847,0.068598933,0.007475914,-0.007475914
SDK2,NA,NA,NA,NA,NA,NA,0,0,0,0
SDR16C5,NA,NA,NA,NA,NA,NA,0,0,0,0
SDR39U1,0.495038593,-0.495038593,0.620616126,0.620616126,0.153549678,-0.153549678,0.095862858,0.092253841,0.003609018,-0.003609018
SDR42E1,-1,1,0.317469673,0.317469673,-0.237393117,0.237393117,0,0.000455718,-0.000455718,0.000455718
SDR42E2,NA,NA,NA,NA,NA,NA,0,0,0,0
SDS,1.314088469,-1.314088469,0.188875041,0.188875041,0.441024711,-0.441024711,0.000447625,0,0.000447625,-0.000447625
SDSL,4.006167716,-4.006167716,6.30E-05,6.30E-05,1.917171174,-1.917171174,0.018719934,0.008469503,0.010250431,-0.010250431
SEC11A,2.707681605,-2.707681605,0.00682111,0.00682111,1.233274321,-1.233274321,0.293948291,0.261611755,0.032336536,-0.032336536
SEC11C,2.348265944,-2.348265944,0.018936048,0.018936048,1.038118185,-1.038118185,0.160316857,0.13902148,0.021295377,-0.021295377
SEC13,2.890341877,-2.890341877,0.003879564,0.003879564,1.331187735,-1.331187735,0.129105255,0.10631183,0.022793425,-0.022793425
SEC14L1,3.327702161,-3.327702161,0.000887137,0.000887137,1.562812669,-1.562812669,0.118747423,0.093852567,0.024894856,-0.024894856
SEC14L2,1,-1,0.317357554,0.317357554,0.237550414,-0.237550414,0.000134749,0,0.000134749,-0.000134749
SEC16A,1.184906527,-1.184906527,0.236160725,0.236160725,0.359353516,-0.359353516,0.048781654,0.042837498,0.005944156,-0.005944156
SEC22A,NA,NA,NA,NA,NA,NA,0,0,0,0
SEC22B,-0.619046572,0.619046572,0.535943476,0.535943476,-0.045109587,0.045109587,0.065066201,0.06893404,-0.003867839,0.003867839
SEC22C,0.311457408,-0.311457408,0.755478834,0.755478834,0.345916403,-0.345916403,0.037315251,0.035890025,0.001425226,-0.001425226
SEC23A,4.927421736,-4.927421736,8.72E-07,8.72E-07,2.390491453,-2.390491453,0.03587881,0.018228723,0.017650088,-0.017650088
SEC23B,2.640580113,-2.640580113,0.008322638,0.008322638,1.197225413,-1.197225413,0.052699497,0.03972491,0.012974588,-0.012974588
SEC23IP,0.812190185,-0.812190185,0.416757391,0.416757391,0.105097948,-0.105097948,0.04124586,0.037446319,0.003799541,-0.003799541
SEC24A,-0.187644281,0.187644281,0.851171235,0.851171235,-0.520734934,0.520734934,0.019482632,0.020129033,-0.000646401,0.000646401
SEC24B,2.051925097,-2.051925097,0.040269295,0.040269295,0.873784781,-0.873784781,0.038843281,0.030077392,0.008765889,-0.008765889
SEC24B-AS1,NA,NA,NA,NA,NA,NA,0,0,0,0
SEC24C,3.560117917,-3.560117917,0.000376559,0.000376559,1.684737101,-1.684737101,0.054878373,0.03763546,0.017242914,-0.017242914
SEC24D,1.970608248,-1.970608248,0.048867153,0.048867153,0.82796917,-0.82796917,0.033138042,0.025331072,0.007806971,-0.007806971
SEC31A,0.411811706,-0.411811706,0.680512883,0.680512883,0.234566737,-0.234566737,0.11169956,0.108478719,0.003220841,-0.003220841
SEC31B,1.925703889,-1.925703889,0.054234927,0.054234927,0.802554419,-0.802554419,0.012666375,0.008202925,0.00446345,-0.00446345
SEC61A1,0.844520353,-0.844520353,0.398458867,0.398458867,0.128669081,-0.128669081,0.108038668,0.10156551,0.006473158,-0.006473158
SEC61A2,NA,NA,NA,NA,NA,NA,0,0,0,0
SEC61B,2.391141141,-2.391141141,0.016873197,0.016873197,1.061544501,-1.061544501,0.4976439,0.461252858,0.036391041,-0.036391041
SEC61G,-0.724362912,0.724362912,0.468914931,0.468914931,-0.038998863,0.038998863,0.460344195,0.471223065,-0.01087887,0.01087887
SEC62,2.380760172,-2.380760172,0.017352495,0.017352495,1.055891945,-1.055891945,0.341905011,0.310668529,0.031236482,-0.031236482
SEC63,1.012768799,-1.012768799,0.311268028,0.311268028,0.246129644,-0.246129644,0.084037784,0.077034172,0.007003612,-0.007003612
SECISBP2,0.713851289,-0.713851289,0.475387965,0.475387965,0.030866205,-0.030866205,0.131332779,0.125099103,0.006233676,-0.006233676
SECISBP2L,1.538654515,-1.538654515,0.124012551,0.124012551,0.577579767,-0.577579767,0.091688065,0.080757354,0.01093071,-0.01093071
SECTM1,5.014464118,-5.014464118,5.61E-07,5.61E-07,2.434498328,-2.434498328,0.05179192,0.029054254,0.022737665,-0.022737665
SEH1L,1.227460489,-1.227460489,0.219757653,0.219757653,0.386505978,-0.386505978,0.025142076,0.020773891,0.004368185,-0.004368185
SEL1L,2.488943212,-2.488943212,0.012869857,0.012869857,1.115058223,-1.115058223,0.05952852,0.046483243,0.013045277,-0.013045277
SEL1L3,1.589311055,-1.589311055,0.112108441,0.112108441,0.607695653,-0.607695653,0.040315385,0.033044015,0.007271371,-0.007271371
SELENOF,1.82501976,-1.82501976,0.068119325,0.068119325,0.744972591,-0.744972591,0.25157584,0.230804641,0.020771199,-0.020771199
SELENOH,2.342110625,-2.342110625,0.019255126,0.019255126,1.034691017,-1.034691017,0.409530492,0.376891383,0.032639108,-0.032639108
