id,degree_.NonSevere,degree_.Severe,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
CD27.TF,8,41,-10.62350139,10.62350139,3.93E-26,3.93E-26,-5.254467291,5.254467291,0.71142792,0.820303349,-0.108875429,0.108875429
CD274.TF,37,53,-34.55556132,34.55556132,1.59E-209,1.59E-209,-15.43420459,15.43420459,-0.245849765,-0.165364757,-0.080485009,0.080485009
CD276.TF,34,51,-32.76631589,32.76631589,4.99E-191,4.99E-191,-14.72894512,14.72894512,-0.253135387,-0.179162382,-0.073973005,0.073973005
CD28.TF,19,59,83.1118323,-83.1118323,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.262410993,-0.170095845,0.432506838,-0.432506838
CD2AP.TF,2,66,42.11986354,-42.11986354,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.43990955,-0.174952532,0.614862082,-0.614862082
CD2BP2.TF,5,15,65.78209007,-65.78209007,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.928712376,0.043997338,0.884715038,-0.884715038
CD300A.TF,3,11,43.9390244,-43.9390244,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.105807279,0.383379762,0.722427517,-0.722427517
CD300C.TF,7,18,41.43890694,-41.43890694,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.439295692,-0.094639896,0.533935588,-0.533935588
CD300E.TF,14,21,31.70881375,-31.70881375,2.48E-197,2.48E-197,14.97300633,-14.97300633,0.867480643,0.31888002,0.548600623,-0.548600623
CD300LB.TF,11,53,38.96109119,-38.96109119,6.16E-299,6.16E-299,18.46788148,-18.46788148,-0.008091125,-0.181828418,0.173737293,-0.173737293
CD300LF.TF,5,43,54.42032256,-54.42032256,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.735828012,-0.110312683,0.846140695,-0.846140695
CD302.TF,7,24,18.95973458,-18.95973458,7.68E-78,7.68E-78,9.319755755,-9.319755755,0.61098098,0.271467872,0.339513108,-0.339513108
CD320.TF,8,46,146.7099871,-146.7099871,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.296007779,-0.051797778,1.347805557,-1.347805557
CD33.TF,7,22,43.06409778,-43.06409778,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.483928425,-0.060131211,0.544059636,-0.544059636
CD36.TF,31,44,-3.943413448,3.943413448,8.23E-05,8.23E-05,-1.88404365,1.88404365,0.675626993,0.747188687,-0.071561693,0.071561693
CD37.TF,41,94,-11.21053867,11.21053867,1.12E-28,1.12E-28,-5.524127204,5.524127204,2.000440794,2.093857735,-0.093416941,0.093416941
CD38.TF,2,45,29.64573117,-29.64573117,3.41E-179,3.41E-179,14.25946172,-14.25946172,0.154356496,-0.18836157,0.342718066,-0.342718066
CD3D.TF,39,44,-30.83189652,30.83189652,3.06E-179,3.06E-179,-14.26138299,14.26138299,0.548906957,1.066877886,-0.517970929,0.517970929
CD3E.TF,44,56,-45.10974046,45.10974046,0.00E+00,0.00E+00,-18.75968967,18.75968967,0.851386631,1.531767196,-0.680380566,0.680380566
CD3EAP.TF,31,55,-25.9198389,25.9198389,4.01E-131,4.01E-131,-12.16835896,12.16835896,-0.250049963,-0.196773834,-0.053276129,0.053276129
CD3G.TF,23,50,-13.25539998,13.25539998,3.33E-39,3.33E-39,-6.523251522,6.523251522,0.494406456,0.674644436,-0.18023798,0.18023798
CD4.TF,5,11,59.25353112,-59.25353112,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.127972704,0.179472113,0.948500591,-0.948500591
CD40.TF,10,46,19.49295124,-19.49295124,2.60E-82,2.60E-82,9.59112163,-9.59112163,0.479281491,0.173474946,0.305806545,-0.305806545
CD40LG.TF,20,56,67.77532535,-67.77532535,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.036305911,-0.169260125,0.205566036,-0.205566036
CD44.TF,10,101,20.50266473,-20.50266473,4.27E-90,4.27E-90,10.04638141,-10.04638141,1.450104524,1.224491432,0.225613092,-0.225613092
CD46.TF,8,11,77.03626923,-77.03626923,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.156044211,0.143373094,1.012671117,-1.012671117
CD47.TF,11,18,21.66825148,-21.66825148,2.66E-97,2.66E-97,10.45016336,-10.45016336,1.544147862,1.195845136,0.348302725,-0.348302725
CD48.TF,34,85,53.48700079,-53.48700079,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.847029932,1.321613497,0.525416435,-0.525416435
CD5.TF,6,58,34.5204533,-34.5204533,8.98E-239,8.98E-239,16.48798834,-16.48798834,0.570780359,0.072056341,0.498724019,-0.498724019
CD52.TF,10,29,-9.523501551,9.523501551,3.11E-21,3.11E-21,-4.693147758,4.693147758,2.857278239,2.992087796,-0.134809556,0.134809556
CD53.TF,19,53,11.2119757,-11.2119757,9.69E-29,9.69E-29,5.530514609,-5.530514609,1.738117232,1.604751744,0.133365487,-0.133365487
CD55.TF,8,7,10.68662125,-10.68662125,3.19E-26,3.19E-26,5.264247604,-5.264247604,1.556925151,1.366207235,0.190717916,-0.190717916
CD58.TF,2,13,70.61208995,-70.61208995,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.278292993,-0.084461258,1.362754252,-1.362754252
CD59.TF,37,63,-26.98141439,26.98141439,2.78E-141,2.78E-141,-12.63907235,12.63907235,-0.244064361,-0.191571638,-0.052492723,0.052492723
CD6.TF,7,57,59.66296931,-59.66296931,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.780800351,0.081877697,0.698922654,-0.698922654
CD63.TF,8,20,-6.313042297,6.313042297,3.06E-10,3.06E-10,-3.093584461,3.093584461,2.043707195,2.148712101,-0.105004907,0.105004907
CD68.TF,48,78,-0.01008451,0.01008451,0.991954606,0.991954606,-1.203424869,1.203424869,1.060594784,1.060785135,-0.000190351,0.000190351
CD69.TF,22,28,-47.15119428,47.15119428,0.00E+00,0.00E+00,-18.75968967,18.75968967,1.252530602,1.998578547,-0.746047945,0.746047945
CD7.TF,23,36,-7.058134755,7.058134755,2.15E-12,2.15E-12,-3.463572752,3.463572752,0.763738295,0.893668392,-0.129930097,0.129930097
CD70.TF,24,44,-25.79989315,25.79989315,6.63E-130,6.63E-130,-12.11066512,12.11066512,-0.240976952,-0.176327582,-0.064649371,0.064649371
CD72.TF,10,70,69.73288413,-69.73288413,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.572568096,0.073615164,0.498952932,-0.498952932
CD74.TF,50,71,-45.28184185,45.28184185,1.86E-306,1.86E-306,-18.70063652,18.70063652,0.603478045,1.231157118,-0.627679072,0.627679072
CD79A.TF,104,72,-15.2857413,15.2857413,4.59E-50,4.59E-50,-7.415681268,7.415681268,-0.015276695,0.181598247,-0.196874943,0.196874943
CD79B.TF,30,31,-32.70754198,32.70754198,9.22E-189,9.22E-189,-14.64018194,14.64018194,0.225378105,0.755858955,-0.53048085,0.53048085
CD80.TF,27,50,-34.71323675,34.71323675,4.62E-212,4.62E-212,-15.52838805,15.52838805,-0.249138259,-0.166333869,-0.082804389,0.082804389
CD81-AS1.TF,38,63,-32.30357062,32.30357062,3.85E-191,3.85E-191,-14.73332109,14.73332109,-0.255075694,-0.195089732,-0.059985962,0.059985962
CD81.TF,NA,27,NA,NA,NA,NA,NA,NA,NA,-0.099784012,NA,NA
CD82.TF,4,10,15.60326923,-15.60326923,8.38E-54,8.38E-54,7.699216391,-7.699216391,0.90221591,0.666211914,0.236003996,-0.236003996
CD83.TF,7,36,96.77046366,-96.77046366,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.565360343,0.252136371,1.313223972,-1.313223972
