,covid-555-1_NonSevere,covid-555-2_Severe,covid-556_NonSevere,covid-557_Severe,covid-558_Severe,covid-559_NonSevere,covid-560_Severe,covid-561_NonSevere
CD8A,613.5097087,632.576744140001,199.97572822,757.432558010002,333.35581386,329.883495090001,154.57906973,590.4029126
CDKN2D,414.186274512,198.43188405,106.960784319,209.179710164,121.492753613,165.950980408,62.159420294,601.637254892999
CEACAM21,32.9919354818,42.8796477469999,17.8104838696,61.0489236766003,27.5450097833999,28.6108870965,11.7279843421001,32.0080645174
ADA2,1036.66666656,2067.7096775,222.31250005,1283.67741949,937.677419450003,380.12499993,481.096774010001,1186.77083336
CLEC11A,30.876623346,44.105050284,16.491341982,56.311110853,29.646464481,25.393939368,12.172727222,30.030302985
CLEC4A,132.826989622,543.821656133,35.737024219,348.834395036,210.745222998,56.5328719620002,135.375796214,185.961937716001
CLEC4D,165.671296289,386.497435935001,48.6712962969999,260.830769314999,147.641025655,81.004629641,101.005128209,229.250000012
CLEC5A,39.3242506909999,88.0289655399999,24.457765662,90.718620709,40.902068977,34.455040851,24.926896554,42.267029974
CLTA,285.38926176,969.733333326,71.993288608,794.708333347999,474.583333346,140.604026855,260.433333336,372.557047000999
CNTNAP2,27.9748111190001,40.9555325830002,15.141057948,56.701137548,27.780765251,22.148614634,12.550155102,26.6221662860001
COL6A3,31.5328466990001,36.9529170940001,16.702554731,51.723643816,25.327533294,25.73357663,10.232343911,29.0383211650001
CORO1A,413.34,592.840336090001,164.66,824.686974769999,363.63865548,249.135,553.44327731,372.145
CRIP2,31.674259718,65.242857138,16.330296156,111.680952378,41.5500000050001,25.949886148,17.201190482,28.309795052
CSF1,33.760076794,41.4608695799996,18.575815759,57.6228260809995,27.9521739089999,28.667946266,11.8619565330001,32.637236137
CST7,543.614197569999,421.63657405,208.31172843,537.68055566,229.78240728,332.78703697,99.73842599,496.45987667
CXCL10,30.766666656,40.783905985,17.588888893,56.3707052439998,27.7414105,25.715555558,11.67179025,28.13111112
CXCL16,81.758389261,58.373134344,21.459731544,59.01356852,33.640434196,32.473154354,13.53595657,110.724832209
DAB2,45.764705826,35.086486493,24.031512585,47.8391892039999,24.250000004,37.527310885,9.46081079199998,50.397058752
DAG1,32.415948282,37.450216446,18.101293096,51.742424234,25.896103885,26.76508621,10.809523795,31.663793108
DCTN1,65.2148337540002,87.3057722529997,30.273657284,154.845553846,57.600624015,50.6879795270001,299.929797197,57.5063938240001
DGKZ,93.61855664,212.91753636,45.0639174,282.83402912,119.01670141,65.59587638,56.76722338,66.4515464900001
DNAJA2,56.8813559229999,119.758002559,28.722457626,175.769526236,71.9756722099999,43.5402542389999,32.480153634,55.0423728709999
DOK2,222.945512829,691.229665125,77.086538464,693.985646059999,371.813397252001,127.842948713,155.177033529,192.836538445
DUSP3,1120.03921587,1201.71052578,241.05882379,773.763156900006,502.578947020001,414.980392469999,308.17105215,1696.35294134
EDA2R,0,41.534518833,0,57.1453974790001,27.706066946,0,11.298117156,0
EFNA1,33.1577946766,39.2225461596,17.7965779465,53.1827016468001,26.4314868863,27.3441064647001,11.5422740553,31.6140684417001
EFNA4,30.199566191,41.082392783,15.650759242,57.1433408499999,28.53611737,23.091106326,12.100451473,27.633405676
EGLN1,79.6188524430001,71.441545898,33.569672113,104.780676325,44.73913042,52.731557361,19.16908212,69.4918032470001
EIF5A,84.7418655009999,163.317098446,44.344902377,263.810362672,131.014507768,65.945770061,44.132642481,96.6898047399999
